# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cpu-clock:pppH'
# Event count (approx.): 1847250000
#
# Overhead  Command        Shared Object      Symbol                           
# ........  .............  .................  .................................
#
    14.85%  ht_staticfull  ht_staticfull      [.] array_get_by_key
    14.67%  ht_staticfull  ht_staticfull      [.] __random
    12.00%  ht_staticfull  ht_staticfull      [.] array_free
     9.57%  ht_staticfull  ht_staticfull      [.] free
     6.13%  ht_staticfull  ht_staticfull      [.] _int_malloc
     3.68%  ht_staticfull  ht_staticfull      [.] __vfprintf_internal
     2.57%  ht_staticfull  ht_staticfull      [.] __memcmp_sse2
     2.44%  ht_staticfull  ht_staticfull      [.] _itoa_word
     2.17%  ht_staticfull  ht_staticfull      [.] __random_r
     2.14%  ht_staticfull  ht_staticfull      [.] _int_free
     2.11%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb7c863f0
     2.08%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb8645479
     1.88%  ht_staticfull  ht_staticfull      [.] free_entry
     1.80%  ht_staticfull  ht_staticfull      [.] _IO_default_xsputn
     1.53%  ht_staticfull  ht_staticfull      [.] malloc
     1.35%  ht_staticfull  ht_staticfull      [.] run_example_code
     1.08%  ht_staticfull  ht_staticfull      [.] __strchrnul_sse2
     0.91%  ht_staticfull  ht_staticfull      [.] __vsnprintf_internal
     0.78%  ht_staticfull  ht_staticfull      [.] array_add
     0.76%  ht_staticfull  ht_staticfull      [.] _IO_str_init_static_internal
     0.74%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85e08a5
     0.74%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85e08b1
     0.65%  ht_staticfull  ht_staticfull      [.] __strlen_sse2
     0.45%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85e08ad
     0.45%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85e08b5
     0.41%  ht_staticfull  ht_staticfull      [.] __snprintf
     0.41%  ht_staticfull  ht_staticfull      [.] __strdup
     0.39%  ht_staticfull  ht_staticfull      [.] _IO_setb
     0.38%  ht_staticfull  ht_staticfull      [.] __memmove_sse2_unaligned_erms
     0.28%  ht_staticfull  [kernel.kallsyms]  [k] 0xffffffffb85e08a9
